Interest,Career Goal,Skills,Course
Arts,NGO Worker,Social;Helping,BA Sociology
Medical,Physician,Biology;Chemistry,MBBS
Medical,Physician,Biology;Research,MBBS
Arts,Community Worker,Helping;Communication,BA Sociology
Engineering,Embedded Engineer,Hardware;Software,Computer Engineering
Law,Judge,Law;Communication,BALLB
Law,Judge,Reading;Writing,BALLB
Business,CEO,Sales;Creativity,BBA
Engineering,Control Engineer,Electrical;Repair,Electrical Engineering
Psychology,Psychologist,Listening;Support,BA Psychology
Business,Entrepreneur,Sales;Creativity,BBA
Engineering,Site Engineer,Planning;Management,Civil Engineering
IT,Software Developer,HTML;CSS;JS,BCA
Business,Bookkeeper,Finance;Math,BBS
IT,Web Developer,HTML;CSS;JS,BCA
IT,Data Scientist,Statistics;AI,BSc CSIT
Law,Legal Advisor,Law;Analysis,BALLB
Engineering,Control Engineer,Circuits;Math,Electrical Engineering
Medical,Pharma Researcher,Chemistry;Medicine,BPharmacy
Business,Resort Manager,Customer Service;Management,BHM
IT,Cloud Engineer,Troubleshooting;Hardware,BIT
Medical,Nurse,Support;Care,BSc Nursing
IT,Web Developer,Debugging;Python,BCA
Business,Manager,Leadership;Communication,BBA
IT,Embedded Engineer,Programming;Logic,Computer Engineering
Engineering,Control Engineer,Automation;Math,Electrical Engineering
Engineering,Power Engineer,Automation;Math,Electrical Engineering
Medical,Specialist,Biology;Chemistry,MBBS
Business,Accountant,Accounting;Excel,BBS
Medical,Surgeon,Biology;Diagnosis,MBBS
Medical,Specialist,Biology;Diagnosis,MBBS
IT,Backend Developer,ML;Python,BSc CSIT
Law,Lawyer,Law;Communication,BALLB
IT,System Developer,Hardware;Software,Computer Engineering
IT,Software Developer,Coding;Logic,BCA
Business,Hotel Manager,Customer Service;Management,BHM
Engineering,Project Engineer,Planning;Management,Civil Engineering
Law,Judge,Debate;Law,BALLB
Business,Accountant,Accounts;Data,BBS
IT,Data Scientist,Statistics;AI,BSc CSIT
Tourism,Hotel Manager,Management;Tourism,BHM
Business,Team Leader,Leadership;Planning,BBM
Business,Bookkeeper,Accounting;Excel,BBS
Engineering,Mechanical Engineer,Physics;Design,Mechanical Engineering
Social,Researcher,Social;Helping,BA Sociology
IT,Cloud Engineer,Networking;Security,BIT
IT,System Analyst,Networking;Security,BIT
Business,Business Manager,Communication;Planning,BBM
Law,Legal Advisor,Law;Communication,BALLB
IT,IT Specialist,Troubleshooting;Hardware,BIT
Arts,Editor,Editing;Writing,BJMC
Business,HR Manager,Business;Innovation,BBA
Medical,Drug Specialist,Chemistry;Research,BPharmacy
IT,Backend Developer,Python;DB,BSc CSIT
Engineering,Civil Engineer,Planning;Management,Civil Engineering
IT,App Developer,Coding;Logic,BCA
Medical,Pharmacy Assistant,Chemistry;Analysis,BPharmacy
Arts,Counselor,Listening;Support,BA Psychology
IT,Data Analyst,ML;Python,BSc CSIT
IT,Data Scientist,Python;DB,BSc CSIT
IT,AI Engineer,Python;DB,BSc CSIT
Engineering,Tech Engineer,Programming;Logic,Computer Engineering
Engineering,Mechanical Engineer,Mechanics;Tools,Mechanical Engineering
Medical,Specialist,Biology;Chemistry,MBBS
Business,Auditor,Accounts;Data,BBS
Law,Judge,Law;Communication,BALLB
Social,Community Worker,Social;Helping,BA Sociology
Engineering,Technician,Electrical;Repair,Electrical Engineering
Business,CEO,Management;Strategy,BBA
IT,Network Engineer,Networking;Security,BIT
IT,Software Developer,Debugging;Python,BCA
Business,Hotel Manager,Management;Tourism,BHM
Engineering,Structural Engineer,Planning;Management,Civil Engineering
IT,Data Scientist,Python;Statistics,BSc CSIT
Engineering,Tech Engineer,Coding;Algorithms,Computer Engineering
Engineering,Tech Engineer,Programming;Logic,Computer Engineering
IT,System Analyst,Troubleshooting;Hardware,BIT
Engineering,Automobile Engineer,CAD;Mechanics,Mechanical Engineering
Law,Legal Advisor,Reading;Writing,BALLB
Engineering,Civil Engineer,Math;Design,Civil Engineering
IT,Tech Engineer,Hardware;Software,Computer Engineering
IT,AI Engineer,ML;Python,BSc CSIT
IT,Data Scientist,Python;DB,BSc CSIT
Business,Marketing Executive,Leadership;Planning,BBM
Business,Auditor,Finance;Math,BBS
Tourism,Tourism Manager,Communication;Hospitality,BHM
Medical,Pharmacy Assistant,Chemistry;Analysis,BPharmacy
Medical,Doctor,Biology;Precision,MBBS
IT,Cloud Engineer,Cloud;Linux,BIT
Engineering,Embedded Engineer,C++;Electronics,Computer Engineering
Engineering,Mechanical Engineer,Physics;Design,Mechanical Engineering
Business,HR Manager,Management;Strategy,BBA
Business,Accountant,Audit;Analysis,BBS
Arts,Psych Analyst,Listening;Support,BA Psychology
Engineering,Civil Engineer,Math;Physics,Civil Engineering
Medical,Doctor,Biology;Research,MBBS
Arts,Psych Analyst,Analysis;Listening,BA Psychology
Medical,Healthcare Worker,Care;Medical Knowledge,BSc Nursing
Business,Accountant,Finance;Math,BBS
Engineering,Technician,Automation;Math,Electrical Engineering
Business,Accountant,Accounting;Excel,BBS
Arts,Social Worker,Helping;Communication,BA Sociology
Medical,Physician,Biology;Research,MBBS
IT,IT Specialist,Cloud;Linux,BIT
Engineering,Site Engineer,Construction;Planning,Civil Engineering
Business,Team Leader,Management;Strategy,BBM
Arts,Journalist,Writing;News,BJMC
Law,Advocate,Law;Communication,BALLB
Engineering,Machine Operator,Physics;Design,Mechanical Engineering
Business,Marketing Executive,Sales;Creativity,BBM
Engineering,System Developer,Coding;Algorithms,Computer Engineering
Medical,Physician,Biology;Precision,MBBS
Medical,Nursing Assistant,Compassion;Health,BSc Nursing
Arts,Journalist,Writing;Communication,BJMC
Tourism,Resort Manager,Management;Tourism,BHM
IT,System Developer,Hardware;Software,Computer Engineering
IT,Web Developer,HTML;CSS;JS,BCA
Medical,Surgeon,Biology;Chemistry,MBBS
Business,Entrepreneur,Business;Innovation,BBA
Arts,Journalist,Writing;News,BJMC
Medical,Drug Specialist,Drugs;Knowledge,BPharmacy
Engineering,Machine Operator,Engines;Design,Mechanical Engineering
Medical,Drug Specialist,Drugs;Knowledge,BPharmacy
Social,Social Worker,Social;Helping,BA Sociology
Medical,Pharmacy Assistant,Drugs;Knowledge,BPharmacy
Medical,Pharma Researcher,Chemistry;Medicine,BPharmacy
Engineering,Structural Engineer,Construction;Planning,Civil Engineering
Arts,Researcher,Research;Logic,BA Sociology
Medical,Staff Nurse,Patient Care;Biology,BSc Nursing
IT,Data Scientist,Python;DB,BSc CSIT
IT,Programmer,Programming;Problem Solving,BCA
Medical,Pharma Researcher,Chemistry;Research,BPharmacy
Business,Resort Manager,Communication;Service,BHM
IT,Network Engineer,Troubleshooting;Hardware,BIT
IT,Software Developer,HTML;CSS;JS,BCA
Law,Judge,Debate;Law,BALLB
Engineering,Tech Engineer,Coding;Algorithms,Computer Engineering
Tourism,Resort Manager,Customer Service;Management,BHM
Medical,Nurse,Patient Care;Biology,BSc Nursing
Business,Hotel Manager,Management;Tourism,BHM
Business,HR Manager,Sales;Creativity,BBA
Psychology,Therapist,Listening;Support,BA Psychology
Medical,Doctor,Biology;Chemistry,MBBS
Arts,Social Worker,Research;Logic,BA Sociology
IT,Embedded Engineer,Hardware;Software,Computer Engineering
IT,Software Developer,Coding;Logic,BCA
Engineering,Civil Engineer,Math;Physics,Civil Engineering
IT,Web Developer,HTML;CSS;JS,BCA
Medical,Staff Nurse,Compassion;Health,BSc Nursing
Engineering,Power Engineer,Energy;Systems,Electrical Engineering
Arts,Counselor,Listening;Support,BA Psychology
Engineering,Technician,Electrical;Repair,Electrical Engineering
Tourism,Resort Manager,Communication;Service,BHM
Engineering,Structural Engineer,Math;Design,Civil Engineering
IT,App Developer,Programming;Problem Solving,BCA
Psychology,Counselor,Analysis;Listening,BA Psychology
Medical,Pharmacy Assistant,Chemistry;Medicine,BPharmacy
Engineering,Machine Operator,CAD;Mechanics,Mechanical Engineering
Business,Hotel Manager,Communication;Service,BHM
Medical,Pharmacy Assistant,Chemistry;Research,BPharmacy
Law,Legal Advisor,Law;Analysis,BALLB
Medical,Pharmacist,Chemistry;Research,BPharmacy
Engineering,Mechanical Engineer,Physics;Design,Mechanical Engineering
IT,Embedded Engineer,Coding;Algorithms,Computer Engineering
Tourism,Resort Manager,Customer Service;Management,BHM
Arts,NGO Worker,Research;Logic,BA Sociology
Tourism,Hotel Manager,Communication;Hospitality,BHM
Engineering,Control Engineer,Energy;Systems,Electrical Engineering
Business,HR Manager,Leadership;Communication,BBA
IT,System Analyst,Troubleshooting;Hardware,BIT
Engineering,Design Engineer,Physics;Design,Mechanical Engineering
Law,Advocate,Law;Analysis,BALLB
Arts,Journalist,Writing;News,BJMC
IT,Web Developer,Debugging;Python,BCA
IT,IT Specialist,Database;Networking,BIT
Medical,Pharma Researcher,Chemistry;Medicine,BPharmacy
Medical,Doctor,Biology;Chemistry,MBBS
Engineering,Electrical Engineer,Circuits;Math,Electrical Engineering
IT,AI Engineer,Python;DB,BSc CSIT
Medical,Pharmacist,Drugs;Knowledge,BPharmacy
Arts,Psychologist,Research;Thinking,BA Psychology
Media,Journalist,Editing;Writing,BJMC
Media,Journalist,Editing;Writing,BJMC
Business,Finance Officer,Accounts;Data,BBS
Arts,Counselor,Empathy;Communication,BA Psychology
Medical,Surgeon,Biology;Research,MBBS
Engineering,Automobile Engineer,CAD;Mechanics,Mechanical Engineering
IT,Web Developer,HTML;CSS;JS,BCA
Law,Legal Advisor,Reading;Writing,BALLB
Arts,Community Worker,Research;Logic,BA Sociology
Engineering,Project Engineer,Math;Physics,Civil Engineering
Business,Finance Officer,Accounting;Excel,BBS
Business,Entrepreneur,Business;Innovation,BBA
Engineering,Machine Operator,CAD;Mechanics,Mechanical Engineering
IT,Network Engineer,Troubleshooting;Hardware,BIT
Psychology,Psych Analyst,Empathy;Communication,BA Psychology
Medical,Healthcare Worker,Support;Care,BSc Nursing
Engineering,Mechanical Engineer,Engines;Design,Mechanical Engineering
Business,Receptionist,Customer Service;Management,BHM
Business,CEO,Management;Strategy,BBA
Social,Community Worker,Research;Logic,BA Sociology
Engineering,Structural Engineer,Math;Physics,Civil Engineering
Business,HR Manager,Leadership;Communication,BBA
IT,Data Scientist,Python;DB,BSc CSIT
Medical,Nursing Assistant,Compassion;Health,BSc Nursing
IT,System Developer,Programming;Logic,Computer Engineering
Media,Content Creator,Editing;Writing,BJMC
Business,Finance Officer,Accounts;Data,BBS
IT,Network Engineer,Database;Networking,BIT
Media,Journalist,Editing;Writing,BJMC
Business,CEO,Leadership;Communication,BBA
IT,Backend Developer,Python;DB,BSc CSIT
Medical,Healthcare Worker,Support;Care,BSc Nursing
Engineering,Power Engineer,Energy;Systems,Electrical Engineering
Business,Team Leader,Management;Strategy,BBM
Law,Judge,Debate;Law,BALLB
Arts,Social Worker,Social;Helping,BA Sociology
Business,CEO,Leadership;Communication,BBA
Business,Auditor,Accounting;Excel,BBS
Medical,Staff Nurse,Compassion;Health,BSc Nursing
Business,Supervisor,Communication;Planning,BBM
Business,Accountant,Accounts;Data,BBS
IT,Backend Developer,Statistics;AI,BSc CSIT
Business,Hotel Manager,Management;Tourism,BHM
Engineering,Civil Engineer,Math;Physics,Civil Engineering
Social,Community Worker,Research;Logic,BA Sociology
Medical,Nurse,Support;Care,BSc Nursing
Business,Marketing Executive,Leadership;Planning,BBM
Business,Entrepreneur,Sales;Creativity,BBA
IT,IT Specialist,Troubleshooting;Hardware,BIT
Tourism,Resort Manager,Communication;Hospitality,BHM
Medical,Surgeon,Biology;Research,MBBS
Arts,Journalist,Editing;Writing,BJMC
Media,Journalist,Editing;Writing,BJMC
Business,HR Manager,Leadership;Communication,BBA
Engineering,Electrical Engineer,Energy;Systems,Electrical Engineering
Engineering,Site Engineer,Planning;Management,Civil Engineering
Medical,Healthcare Worker,Patient Care;Biology,BSc Nursing
Medical,Surgeon,Biology;Precision,MBBS
Engineering,Software Engineer,Hardware;Software,Computer Engineering
Medical,Drug Specialist,Chemistry;Analysis,BPharmacy
IT,AI Engineer,ML;Python,BSc CSIT
Social,NGO Worker,Analysis;Study,BA Sociology
Arts,NGO Worker,Analysis;Study,BA Sociology
IT,Cloud Engineer,Database;Networking,BIT
IT,Software Developer,Programming;Problem Solving,BCA
Medical,Nurse,Care;Medical Knowledge,BSc Nursing
Business,Team Leader,Leadership;Planning,BBM
IT,System Analyst,Troubleshooting;Hardware,BIT
Medical,Pharmacy Assistant,Drugs;Knowledge,BPharmacy
Law,Advocate,Debate;Law,BALLB
Law,Judge,Reading;Writing,BALLB
IT,App Developer,Programming;Problem Solving,BCA
Medical,Pharmacy Assistant,Chemistry;Medicine,BPharmacy
Tourism,Tourism Manager,Customer Service;Management,BHM
Media,Reporter,Editing;Writing,BJMC
Law,Legal Advisor,Reading;Writing,BALLB
Law,Legal Advisor,Law;Communication,BALLB
IT,Web Developer,Debugging;Python,BCA
Engineering,Control Engineer,Circuits;Math,Electrical Engineering
Business,Accountant,Accounting;Excel,BBS
Engineering,Control Engineer,Automation;Math,Electrical Engineering
IT,Software Developer,HTML;CSS;JS,BCA
Business,Business Manager,Leadership;Planning,BBM
Engineering,Technician,Electrical;Repair,Electrical Engineering
IT,IT Specialist,Networking;Security,BIT
Medical,Pharma Researcher,Chemistry;Research,BPharmacy
Law,Advocate,Law;Communication,BALLB
Medical,Staff Nurse,Support;Care,BSc Nursing
Engineering,Structural Engineer,Math;Physics,Civil Engineering
Engineering,System Developer,C++;Electronics,Computer Engineering
Medical,Pharmacist,Chemistry;Analysis,BPharmacy
Business,Marketing Executive,Management;Strategy,BBM
Arts,Content Creator,Writing;Communication,BJMC
Arts,Content Creator,Writing;News,BJMC
Social,Community Worker,Analysis;Study,BA Sociology
Medical,Doctor,Biology;Precision,MBBS
Tourism,Resort Manager,Communication;Hospitality,BHM
Engineering,Machine Operator,Engines;Design,Mechanical Engineering
IT,Data Scientist,ML;Python,BSc CSIT
Business,Receptionist,Customer Service;Management,BHM
Business,Finance Officer,Accounts;Data,BBS
Engineering,Machine Operator,CAD;Mechanics,Mechanical Engineering
IT,Data Analyst,ML;Python,BSc CSIT
Medical,Doctor,Biology;Diagnosis,MBBS
Social,Researcher,Helping;Communication,BA Sociology
IT,Backend Developer,Python;Statistics,BSc CSIT
IT,Network Engineer,Database;Networking,BIT
Engineering,Automobile Engineer,Physics;Design,Mechanical Engineering
Engineering,Structural Engineer,Math;Design,Civil Engineering
Business,Supervisor,Communication;Planning,BBM
Business,Hotel Manager,Communication;Service,BHM
Arts,Social Worker,Research;Logic,BA Sociology
IT,AI Engineer,Python;Statistics,BSc CSIT
Medical,Pharmacist,Chemistry;Research,BPharmacy
Medical,Healthcare Worker,Patient Care;Biology,BSc Nursing
Business,CEO,Leadership;Communication,BBA
Engineering,Technician,Electrical;Repair,Electrical Engineering
Business,Entrepreneur,Management;Strategy,BBA
Arts,Psychologist,Empathy;Communication,BA Psychology
Law,Judge,Law;Analysis,BALLB
IT,Programmer,Coding;Logic,BCA
Engineering,Civil Engineer,Construction;Planning,Civil Engineering
Psychology,Psych Analyst,Analysis;Listening,BA Psychology
Engineering,Automobile Engineer,Physics;Design,Mechanical Engineering
Business,Accountant,Accounting;Excel,BBS
Arts,Reporter,Writing;Communication,BJMC
Arts,Journalist,Writing;Communication,BJMC
Arts,Editor,Writing;Creativity,BJMC
Arts,Therapist,Analysis;Listening,BA Psychology
Business,Finance Officer,Finance;Math,BBS
Engineering,Project Engineer,Math;Design,Civil Engineering
Business,Entrepreneur,Leadership;Communication,BBA
Business,Business Manager,Communication;Planning,BBM
Business,Resort Manager,Management;Tourism,BHM
Engineering,Project Engineer,Math;Design,Civil Engineering
Social,Social Worker,Analysis;Study,BA Sociology
Business,Business Manager,Leadership;Planning,BBM
IT,App Developer,HTML;CSS;JS,BCA
Engineering,Project Engineer,Math;Physics,Civil Engineering
IT,Data Scientist,Python;Statistics,BSc CSIT
Medical,Healthcare Worker,Compassion;Health,BSc Nursing
IT,Tech Engineer,C++;Electronics,Computer Engineering
Medical,Surgeon,Biology;Precision,MBBS
IT,Data Scientist,ML;Python,BSc CSIT
Arts,Social Worker,Research;Logic,BA Sociology
Law,Advocate,Law;Analysis,BALLB
IT,System Analyst,Cloud;Linux,BIT
Psychology,Psych Analyst,Research;Thinking,BA Psychology
IT,Tech Engineer,Hardware;Software,Computer Engineering
Medical,Specialist,Biology;Diagnosis,MBBS
IT,Tech Engineer,Hardware;Software,Computer Engineering
Arts,Editor,Writing;News,BJMC
Engineering,Embedded Engineer,C++;Electronics,Computer Engineering
Engineering,Power Engineer,Electrical;Repair,Electrical Engineering
Arts,NGO Worker,Social;Helping,BA Sociology
Business,Receptionist,Communication;Service,BHM
Business,Bookkeeper,Accounting;Excel,BBS
Engineering,Design Engineer,Physics;Design,Mechanical Engineering
Arts,Journalist,Editing;Writing,BJMC
Business,Supervisor,Leadership;Planning,BBM
IT,Embedded Engineer,C++;Electronics,Computer Engineering
IT,Data Scientist,Python;Statistics,BSc CSIT
Law,Legal Advisor,Law;Analysis,BALLB
Arts,Editor,Writing;Creativity,BJMC
Business,Entrepreneur,Business;Innovation,BBA
Engineering,Structural Engineer,Math;Physics,Civil Engineering
Business,Accountant,Finance;Math,BBS
IT,Web Developer,Debugging;Python,BCA
Medical,Surgeon,Biology;Chemistry,MBBS
IT,App Developer,Debugging;Python,BCA
Engineering,Tech Engineer,Hardware;Software,Computer Engineering
Media,Content Creator,Writing;News,BJMC
Law,Advocate,Law;Communication,BALLB
Engineering,Design Engineer,CAD;Mechanics,Mechanical Engineering
Engineering,Mechanical Engineer,Engines;Design,Mechanical Engineering
Arts,Editor,Editing;Writing,BJMC
Engineering,Tech Engineer,Programming;Logic,Computer Engineering
Business,Marketing Executive,Sales;Creativity,BBM
Law,Judge,Reading;Writing,BALLB
Medical,Specialist,Biology;Precision,MBBS
IT,Network Engineer,Networking;Security,BIT
Medical,Nurse,Care;Medical Knowledge,BSc Nursing
Engineering,Machine Operator,CAD;Mechanics,Mechanical Engineering
Arts,NGO Worker,Analysis;Study,BA Sociology
Arts,Content Creator,Writing;Communication,BJMC
Medical,Staff Nurse,Patient Care;Biology,BSc Nursing
Business,HR Manager,Management;Strategy,BBA
Engineering,Control Engineer,Circuits;Math,Electrical Engineering
Psychology,Counselor,Listening;Support,BA Psychology
Engineering,Mechanical Engineer,CAD;Mechanics,Mechanical Engineering
Medical,Pharmacist,Chemistry;Medicine,BPharmacy
IT,Network Engineer,Cloud;Linux,BIT
Medical,Physician,Biology;Precision,MBBS
IT,Web Developer,HTML;CSS;JS,BCA
IT,Programmer,Coding;Logic,BCA
IT,Data Scientist,ML;Python,BSc CSIT
IT,App Developer,Debugging;Python,BCA
Medical,Drug Specialist,Chemistry;Medicine,BPharmacy
Business,HR Manager,Sales;Creativity,BBA
Arts,Journalist,Writing;Communication,BJMC
Business,Entrepreneur,Management;Strategy,BBA
Engineering,Electrical Engineer,Energy;Systems,Electrical Engineering
Engineering,Electrical Engineer,Automation;Math,Electrical Engineering
IT,Data Analyst,ML;Python,BSc CSIT
Medical,Pharmacy Assistant,Chemistry;Analysis,BPharmacy
Tourism,Tourism Manager,Management;Tourism,BHM
Medical,Specialist,Biology;Research,MBBS
Media,Journalist,Writing;News,BJMC
Medical,Specialist,Biology;Chemistry,MBBS
Business,Business Manager,Management;Strategy,BBM
Business,Hotel Manager,Communication;Service,BHM
Business,Supervisor,Leadership;Planning,BBM
Business,Manager,Business;Innovation,BBA
Business,Supervisor,Communication;Planning,BBM
Medical,Staff Nurse,Support;Care,BSc Nursing
Engineering,Embedded Engineer,Programming;Logic,Computer Engineering
Business,Auditor,Accounting;Excel,BBS
Arts,Psych Analyst,Listening;Support,BA Psychology
Arts,Community Worker,Helping;Communication,BA Sociology
Engineering,Structural Engineer,Math;Physics,Civil Engineering
Business,Entrepreneur,Leadership;Communication,BBA
Business,Marketing Executive,Leadership;Planning,BBM
Arts,Psychologist,Research;Thinking,BA Psychology
Business,Business Manager,Leadership;Planning,BBM
IT,Embedded Engineer,Coding;Algorithms,Computer Engineering
Business,Marketing Executive,Sales;Creativity,BBM
Medical,Specialist,Biology;Precision,MBBS
Engineering,Project Engineer,Construction;Planning,Civil Engineering
IT,App Developer,Programming;Problem Solving,BCA
Medical,Healthcare Worker,Care;Medical Knowledge,BSc Nursing
Medical,Pharma Researcher,Chemistry;Research,BPharmacy
Engineering,Tech Engineer,Coding;Algorithms,Computer Engineering
Media,Journalist,Writing;Communication,BJMC
Medical,Drug Specialist,Chemistry;Analysis,BPharmacy
Engineering,Technician,Energy;Systems,Electrical Engineering
Engineering,Power Engineer,Circuits;Math,Electrical Engineering
Business,Tourism Manager,Communication;Hospitality,BHM
