Student_ID,Interest,Career Goal,Skills,Recommended Course
S054,Electronics,Embedded Developer,"Problem Solving, Logic, Debugging",Computer Engineering
S055,Software,Robotics Engineer,"Debugging, Math, Problem Solving",Computer Engineering
S056,Hardware,Hardware Engineer,"Logic, Electronics, Coding",Computer Engineering
S057,Robotics,System Developer,"Coding, Logic, Debugging",Computer Engineering
S058,Electricity,Technician,"Circuit Analysis, Technical Thinking, Math",Electrical Engineering
S059,Electricity,Technician,"Physics, Math, Observation",Electrical Engineering
S060,Renewable Energy,Electrical Engineer,"Observation, Math, Circuit Analysis",Electrical Engineering
S061,Electricity,Technician,"Math, Technical Thinking, Physics",Electrical Engineering
S062,Renewable Energy,Electrical Engineer,"Circuit Analysis, Technical Thinking, Problem Solving",Electrical Engineering
S063,Electronics,Power Engineer,"Observation, Problem Solving, Math",Electrical Engineering
S064,Manufacturing,Automobile Engineer,"Math, Drawing, Problem Solving",Mechanical Engineering
S065,Manufacturing,Mechanical Engineer,"Physics, Problem Solving, Creativity",Mechanical Engineering
S066,Machines,Maintenance Engineer,"Math, Technical Thinking, Drawing",Mechanical Engineering
S067,Automobile,Production Engineer,"Physics, Math, Drawing",Mechanical Engineering
S068,Manufacturing,Design Engineer,"Problem Solving, Technical Thinking, Drawing",Mechanical Engineering
S069,Mechanical Systems,Maintenance Engineer,"Physics, Technical Thinking, Drawing",Mechanical Engineering
S070,Patient Care,Doctor,"Memory, Patience, Biology",MBBS
S071,Healthcare,Hospital Doctor,"Memory, Patience, Observation",MBBS
S072,Surgery,Physician,"Communication, Patience, Memory",MBBS
S073,Patient Care,Surgeon,"Observation, Dedication, Patience",MBBS
S074,Healthcare,Doctor,"Communication, Dedication, Patience",MBBS
S075,Healthcare,Doctor,"Patience, Memory, Communication",MBBS
S076,Medicine,Medical Officer,"Observation, Dedication, Biology",MBBS
S077,Healthcare,Nurse,"Discipline, Caregiving, Biology",BSc Nursing
S078,Hospital,Health Assistant,"Empathy, Caregiving, Patience",BSc Nursing
S079,Patient Care,Nurse,"Communication, Discipline, Biology",BSc Nursing
S080,Hospital,Ward Nurse,"Discipline, Caregiving, Biology",BSc Nursing
S081,Hospital,Health Assistant,"Patience, Empathy, Caregiving",BSc Nursing
S082,Patient Care,Ward Nurse,"Caregiving, Patience, Biology",BSc Nursing
S083,Drugs,Lab Assistant,"Precision, Biology, Memory",BPharmacy
S084,Drugs,Pharmacist,"Precision, Chemistry, Responsibility",BPharmacy
S085,Drugs,Medical Representative,"Precision, Memory, Observation",BPharmacy
S086,Drugs,Medical Representative,"Chemistry, Biology, Precision",BPharmacy
S087,Chemistry,Lab Assistant,"Chemistry, Memory, Observation",BPharmacy
S088,Research,Drug Specialist,"Precision, Observation, Memory",BPharmacy
S089,Law,Lawyer,"Writing, Argument, Memory",BALLB
S090,Law,Lawyer,"Critical Thinking, Communication, Writing",BALLB
S091,Public Speaking,Legal Officer,"Communication, Critical Thinking, Reading",BALLB
S092,Debate,Civil Service,"Argument, Writing, Reading",BALLB
S093,Public Speaking,Judge Preparation,"Reading, Critical Thinking, Argument",BALLB
S094,Politics,Judge Preparation,"Reading, Writing, Critical Thinking",BALLB
S095,History,Teacher,"Analysis, Reading, Presentation",BA
S096,History,Researcher,"Reading, Critical Thinking, Analysis",BA
S097,Literature,Writer,"Communication, Critical Thinking, Presentation",BA
S098,History,Writer,"Presentation, Analysis, Reading",BA
S099,Journalism,Public Service Staff,"Writing, Reading, Presentation",BA
S100,Social Science,Researcher,"Presentation, Analysis, Reading",BA
